2025-09-24 08:29:34.987 [main] INFO  [] p.s.b.BankrecomendationApplication - Starting BankrecomendationApplication using Java 23.0.2 with PID 53074 (/Users/maksimzadoroznyj/IdeaProjects/Recomendation/target/classes started by maksimzadoroznyj in /Users/maksimzadoroznyj/IdeaProjects/Recomendation)
2025-09-24 08:29:34.988 [main] DEBUG [] p.s.b.BankrecomendationApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-09-24 08:29:34.988 [main] INFO  [] p.s.b.BankrecomendationApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-24 08:29:35.257 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-09-24 08:29:35.264 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2025-09-24 08:29:35.415 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-24 08:29:35.420 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-24 08:29:35.421 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-24 08:29:35.421 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-09-24 08:29:35.438 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-24 08:29:35.439 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 424 ms
2025-09-24 08:29:35.611 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-24 08:29:35.732 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction user=
2025-09-24 08:29:35.733 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-24 08:29:35.771 [main] INFO  [] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction'
2025-09-24 08:29:35.783 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-24 08:29:35.792 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-24 08:29:35.796 [main] INFO  [] p.s.b.BankrecomendationApplication - Started BankrecomendationApplication in 1.048 seconds (process running for 1.254)
2025-09-24 08:32:27.928 [SpringApplicationShutdownHook] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-24 08:32:27.951 [tomcat-shutdown] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-24 08:32:27.959 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-09-24 08:32:27.966 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-09-24 08:34:28.071 [main] INFO  [] p.s.b.BankrecomendationApplication - Starting BankrecomendationApplication using Java 23.0.2 with PID 53223 (/Users/maksimzadoroznyj/IdeaProjects/Recomendation/target/classes started by maksimzadoroznyj in /Users/maksimzadoroznyj/IdeaProjects/Recomendation)
2025-09-24 08:34:28.074 [main] DEBUG [] p.s.b.BankrecomendationApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-09-24 08:34:28.074 [main] INFO  [] p.s.b.BankrecomendationApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-24 08:34:28.322 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-09-24 08:34:28.329 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2025-09-24 08:34:28.481 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-24 08:34:28.487 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-24 08:34:28.488 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-24 08:34:28.489 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-09-24 08:34:28.505 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-24 08:34:28.506 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 407 ms
2025-09-24 08:34:28.675 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-24 08:34:28.799 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction user=
2025-09-24 08:34:28.799 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-24 08:34:28.839 [main] INFO  [] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction'
2025-09-24 08:34:28.851 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-24 08:34:28.860 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-24 08:34:28.864 [main] INFO  [] p.s.b.BankrecomendationApplication - Started BankrecomendationApplication in 1.05 seconds (process running for 1.265)
2025-09-24 08:34:31.124 [SpringApplicationShutdownHook] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-24 08:34:31.138 [tomcat-shutdown] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-24 08:34:31.142 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-09-24 08:34:31.146 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-09-24 09:38:46.427 [main] INFO  [] p.s.b.BankrecomendationApplication - Starting BankrecomendationApplication using Java 23.0.2 with PID 54751 (/Users/maksimzadoroznyj/IdeaProjects/Recomendation/target/classes started by maksimzadoroznyj in /Users/maksimzadoroznyj/IdeaProjects/Recomendation)
2025-09-24 09:38:46.427 [main] DEBUG [] p.s.b.BankrecomendationApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-09-24 09:38:46.428 [main] INFO  [] p.s.b.BankrecomendationApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-24 09:38:46.739 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-09-24 09:38:46.746 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2025-09-24 09:38:46.907 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-24 09:38:46.915 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-24 09:38:46.916 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-24 09:38:46.916 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-09-24 09:38:46.935 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-24 09:38:46.935 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 484 ms
2025-09-24 09:38:47.086 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-09-24 09:38:47.210 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-24 09:38:47.342 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction user=
2025-09-24 09:38:47.343 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-24 09:38:47.391 [main] INFO  [] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:/Users/maksimzadoroznyj/IdeaProjects/Recomendation/data/transaction'
2025-09-24 09:38:47.414 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-24 09:38:47.427 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-24 09:38:47.432 [main] INFO  [] p.s.b.BankrecomendationApplication - Started BankrecomendationApplication in 1.279 seconds (process running for 1.55)
2025-09-24 09:38:50.863 [SpringApplicationShutdownHook] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-24 09:38:50.871 [tomcat-shutdown] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-24 09:38:50.874 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-09-24 09:38:50.876 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
